Fecha,Categoría,Cantidad Producto,Ingreso,Precio Unitario,Año
2019-03-11,bidet,6,388596,5769,2019
2019-03-12,complemento de pisos vinilicos,8,1006712,5612,2019
2019-03-13,accesibilidad universal,17,395029,6481,2019
2019-03-14,rack toallas,7,644021,13837,2019
2019-03-15,receptaculos,1,119474,5589,2019
2019-03-16,mosaicos,17,375394,6177,2019
2019-03-17,accesibilidad universal,6,798246,6481,2019
2019-03-18,lavaplatos,1,10855,5206,2019
2019-03-19,porcelanato,2,37898,5281,2019
2019-03-20,pisos de madera,26,600366,5207,2019
2019-03-21,gres,7,394163,9652,2019
2019-03-22,wc,8,661296,5152,2019
2019-03-23,toalleros,6,106128,5406,2019
2019-03-24,complemento de pisos vinilicos,4,545232,5612,2019
2019-03-25,pisos organicos,6,574398,5302,2019
2019-03-26,griferia de lavamanos,16,268384,9370,2019
2019-03-27,griferia de bidet,9,496656,5060,2019
2019-03-28,griferia institucional,6,697212,5557,2019
2019-03-29,accesorios institucionales,3,137124,6048,2019
2019-03-30,accesibilidad universal,4,131244,6481,2019
2019-03-31,griferia institucional,19,132734,5557,2019
2019-04-01,espejos,7,230377,5808,2019
2019-04-02,pisos fotolaminados,1,38680,5671,2019
2019-04-03,perchas,7,709065,5060,2019
2019-04-04,griferia de cocina y lavadero,1,41111,5619,2019
2019-04-05,griferia de bidet,25,328875,5060,2019
2019-04-06,griferia de lavamanos,23,442911,9370,2019
2019-04-07,complemento de pisos vinilicos,28,606088,5612,2019
2019-04-08,urinarios,9,1139409,6925,2019
2019-04-09,toalleros,1,107371,5406,2019
2019-04-10,complemento de pisos vinilicos,5,308080,5612,2019
2019-04-11,lavaplatos,9,109422,5206,2019
2019-04-12,sanitarios institucionales,19,466526,7151,2019
2019-04-13,wall panels,3,244221,5077,2019
2019-04-14,wall panels,6,217770,5077,2019
2019-04-15,lavaplatos,8,712320,5206,2019
2019-04-16,accesorios institucionales,1,42874,6048,2019
2019-04-17,griferia de bidet,6,213234,5060,2019
2019-04-18,contenedores,3,273801,5855,2019
2019-04-19,receptaculos,9,293013,5589,2019
2019-04-20,escobillas,29,208800,7200,2019
2019-04-21,modulos,2,153950,5226,2019
2019-04-22,complementos de griferia,3,98607,6367,2019
2019-04-23,complementos de griferia,9,720972,6367,2019
2019-04-24,pisos de madera,4,481088,5207,2019
2019-04-25,organizadores,24,215688,5587,2019
2019-04-26,lavaplatos,3,228642,5206,2019
2019-04-27,complementos de pisos organicos,1,9735,6000,2019
2019-04-28,lavamanos,3,300273,5307,2019
2019-04-29,perchas,6,298980,5060,2019
2019-04-30,organizadores,6,878286,5587,2019
2019-05-01,contenedores,3,100308,5855,2019
2019-05-02,complementos sanitarios,2,71790,6306,2019
2019-05-03,griferia de bidet,1,12022,5060,2019
2019-05-04,accesibilidad universal,16,207936,6481,2019
2019-05-05,accesibilidad universal,17,163914,6481,2019
2019-05-06,wall panels,5,518720,5077,2019
2019-05-07,griferia de bidet,9,694818,5060,2019
2019-05-08,toalleros,29,687619,5406,2019
2019-05-09,tinas,21,111321,5301,2019
2019-05-10,complementos de pisos organicos,28,687512,6000,2019
2019-05-11,pisos vinilicos,29,150510,5190,2019
2019-05-12,sanitarios institucionales,23,183425,7151,2019
2019-05-13,portapapeles,3,74133,5504,2019
2019-05-14,portapapeles,9,509769,5504,2019
2019-05-15,toalleros,3,159279,5406,2019
2019-05-16,accesibilidad universal,8,655080,6481,2019
2019-05-17,bidet,6,617946,5769,2019
2019-05-18,escobillas,27,216243,7200,2019
2019-05-19,porcelanato,1,129713,5281,2019
2019-05-20,rack toallas,9,1227600,13837,2019
2019-05-21,griferia de lavamanos,16,280528,9370,2019
2019-05-22,complementos de pisos organicos,23,248423,6000,2019
2019-05-23,griferia de lavamanos,2,268580,9370,2019
2019-05-24,accesorios institucionales,13,203411,6048,2019
2019-05-25,griferia de lavamanos,7,822815,9370,2019
2019-05-26,porcelanato,13,225199,5281,2019
2019-05-27,toalleros,8,258944,5406,2019
2019-05-28,organizadores,3,409431,5587,2019
2019-05-29,muebles de baño,2,36806,7693,2019
2019-05-30,pisos de madera,6,245796,5207,2019
2019-05-31,wc,29,636782,5152,2019
2019-06-01,pisos fotolaminados,6,513654,5671,2019
2019-06-02,receptaculos,10,149070,5589,2019
2019-06-03,modulos,6,498036,5226,2019
2019-06-04,bidet,5,37455,5769,2019
2019-06-05,urinarios,21,411579,6925,2019
2019-06-06,complementos de griferia,5,165255,6367,2019
2019-06-07,pisos vinilicos,20,117520,5190,2019
2019-06-08,lavaplatos,3,299034,5206,2019
2019-06-09,contenedores,20,241580,5855,2019
2019-06-10,perchas,2,248952,5060,2019
2019-06-11,pisos de madera,3,425163,5207,2019
2019-06-12,barras de seguridad,19,252909,6762,2019
2019-06-13,griferia de lavamanos,7,934367,9370,2019
2019-06-14,espejos,5,604260,5808,2019
2019-06-15,complementos de pisos organicos,9,737910,6000,2019
2019-06-16,pisos organicos,1,104740,5302,2019
2019-06-17,accesorios institucionales,1,124841,6048,2019
2019-06-18,pisos organicos,22,404954,5302,2019
2019-06-19,sanitarios institucionales,8,400448,7151,2019
2019-06-20,griferia de lavamanos,1,21244,9370,2019
2019-06-21,organizadores,7,304500,5587,2019
2019-06-22,organizadores,5,198310,5587,2019
2019-06-23,tinas,3,268914,5301,2019
2019-06-24,complemento de pisos vinilicos,3,446811,5612,2019
2019-06-25,griferia de ducha y tina,25,306325,5226,2019
2019-06-26,griferia institucional,5,72175,5557,2019
2019-06-27,organizadores,14,256144,5587,2019
2019-06-28,modulos,5,452015,5226,2019
2019-06-29,pisos vinilicos,5,369595,5190,2019
2019-06-30,accesorios institucionales,23,217396,6048,2019
2019-07-01,toalleros,6,318294,5406,2019
2019-07-02,porcelanato,20,156980,5281,2019
2019-07-03,accesorios institucionales,26,439972,6048,2019
2019-07-04,wall panels,8,721280,5077,2019
2019-07-05,accesorios institucionales,4,85456,6048,2019
2019-07-06,mosaicos,7,573937,6177,2019
2019-07-07,mosaicos,4,498816,6177,2019
2019-07-08,wc,2,178550,5152,2019
2019-07-09,pisos fotolaminados,1,7427,5671,2019
2019-07-10,tinas,19,190988,5301,2019
2019-07-11,receptaculos,3,31161,5589,2019
2019-07-12,espejos,8,84288,5808,2019
2019-07-13,pisos vinilicos,2,225972,5190,2019
2019-07-14,barras de seguridad,23,162886,6762,2019
2019-07-15,espejos,10,212810,5808,2019
2019-07-16,organizadores,2,213594,5587,2019
2019-07-17,escobillas,7,96656,7200,2019
2019-07-18,portapapeles,5,563725,5504,2019
2019-07-19,espejos,8,448736,5808,2019
2019-07-20,griferia institucional,5,317480,5557,2019
2019-07-21,organizadores,5,83285,5587,2019
2019-07-22,bidet,3,23901,5769,2019
2019-07-23,pisos organicos,16,360096,5302,2019
2019-07-24,muebles de baño,1,67841,7693,2019
2019-07-25,jaboneras y vasos,24,171432,5016,2019
2019-07-26,griferia institucional,5,61785,5557,2019
2019-07-27,contenedores,7,463456,5855,2019
2019-07-28,escobillas,25,387950,7200,2019
2019-07-29,complementos sanitarios,17,315928,6306,2019
2019-07-30,griferia de ducha y tina,9,643995,5226,2019
2019-07-31,pisos organicos,3,447540,5302,2019
2019-08-01,pisos vinilicos,12,227076,5190,2019
2019-08-02,lavamanos,19,235600,5307,2019
2019-08-03,toalleros,7,699272,5406,2019
2019-08-04,pisos vinilicos,4,450548,5190,2019
2019-08-05,accesibilidad universal,16,167776,6481,2019
2019-08-06,espejos,25,237275,5808,2019
2019-08-07,escobillas,5,205650,7200,2019
2019-08-08,barras de seguridad,7,1038268,6762,2019
2019-08-09,complemento de pisos vinilicos,7,400344,5612,2019
2019-08-10,griferia de lavamanos,14,226436,9370,2019
2019-08-11,pisos vinilicos,5,48645,5190,2019
2019-08-12,griferia de lavamanos,29,299686,9370,2019
2019-08-13,rack toallas,15,177015,13837,2019
2019-08-14,contenedores,1,78136,5855,2019
2019-08-15,pisos fotolaminados,7,115451,5671,2019
2019-08-16,tinas,8,613856,5301,2019
2019-08-17,griferia de ducha y tina,2,185712,5226,2019
2019-08-18,mosaicos,2,48130,6177,2019
2019-08-19,griferia de bidet,13,244491,5060,2019
2019-08-20,jaboneras y vasos,20,454980,5016,2019
2019-08-21,perchas,25,312350,5060,2019
2019-08-22,barras de seguridad,28,227948,6762,2019
2019-08-23,complementos de griferia,29,197490,6367,2019
2019-08-24,pisos organicos,7,935235,5302,2019
2019-08-25,lavaplatos,3,61455,5206,2019
2019-08-26,urinarios,18,175464,6925,2019
2019-08-27,lavaplatos,4,134836,5206,2019
2019-08-28,muebles de baño,9,790191,7693,2019
2019-08-29,tinas,3,73368,5301,2019
2019-08-30,urinarios,25,492075,6925,2019
2019-08-31,ceramicos,17,111027,5192,2019
2019-09-01,wall panels,1,5823,5077,2019
2019-09-02,ceramicos,6,850392,5192,2019
2019-09-03,urinarios,5,331975,6925,2019
2019-09-04,portapapeles,5,615225,5504,2019
2019-09-05,pisos organicos,5,80015,5302,2019
2019-09-06,complementos sanitarios,3,364086,6306,2019
2019-09-07,toalleros,2,280016,5406,2019
2019-09-08,contenedores,17,384880,5855,2019
2019-09-09,lavamanos,1,82638,5307,2019
2019-09-10,receptaculos,22,370238,5589,2019
2019-09-11,portapapeles,23,554001,5504,2019
2019-09-12,lavaplatos,12,145368,5206,2019
2019-09-13,contenedores,8,327800,5855,2019
2019-09-14,complementos sanitarios,5,269795,6306,2019
2019-09-15,pisos de madera,4,157348,5207,2019
2019-09-16,mosaicos,2,264046,6177,2019
2019-09-17,griferia institucional,5,286775,5557,2019
2019-09-18,accesibilidad universal,27,265545,6481,2019
2019-09-19,griferia de cocina y lavadero,9,1220544,5619,2019
2019-09-20,contenedores,16,124464,5855,2019
2019-09-21,receptaculos,3,19743,5589,2019
2019-09-22,lavamanos,18,318186,5307,2019
2019-09-23,wc,5,108195,5152,2019
2019-09-24,wc,2,30272,5152,2019
2019-09-25,mamparas de ducha,2,229582,5153,2019
2019-09-26,griferia de lavamanos,23,232852,9370,2019
2019-09-27,jaboneras y vasos,1,91813,5016,2019
2019-09-28,lavamanos,1,38415,5307,2019
2019-09-29,wc,25,228950,5152,2019
2019-09-30,wall panels,1,36970,5077,2019
2019-10-01,perchas,9,207153,5060,2019
2019-10-02,griferia de cocina y lavadero,1,13702,5619,2019
2019-10-03,lavamanos,23,303025,5307,2019
2019-10-04,muebles de baño,1,42763,7693,2019
2019-10-05,complementos de griferia,6,89160,6367,2019
2019-10-06,griferia de cocina y lavadero,23,525412,5619,2019
2019-10-07,toalleros,5,43180,5406,2019
2019-10-08,complementos sanitarios,3,186603,6306,2019
2019-10-09,toalleros,14,286216,5406,2019
2019-10-10,accesibilidad universal,1,10997,6481,2019
2019-10-11,rack toallas,4,88400,13837,2019
2019-10-12,sanitarios institucionales,1,100080,7151,2019
2019-10-13,tinas,2,276638,5301,2019
2019-10-14,pisos fotolaminados,8,1141872,5671,2019
2019-10-15,espejos,26,506714,5808,2019
2019-10-16,porcelanato,6,551262,5281,2019
2019-10-17,portapapeles,1,9363,5504,2019
2019-10-18,perchas,5,519815,5060,2019
2019-10-19,wc,9,488565,5152,2019
2019-10-20,griferia de bidet,15,362970,5060,2019
2019-10-21,griferia institucional,5,82350,5557,2019
2019-10-22,griferia de bidet,2,34346,5060,2019
2019-10-23,complementos de pisos organicos,28,581868,6000,2019
2019-10-24,accesorios institucionales,2,73898,6048,2019
2019-10-25,complementos de griferia,3,310659,6367,2019
2019-10-26,sanitarios institucionales,20,304180,7151,2019
2019-10-27,modulos,28,407400,5226,2019
2019-10-28,wall panels,3,301170,5077,2019
2019-10-29,mosaicos,29,683356,6177,2019
2019-10-30,ceramicos,8,1158600,5192,2019
2019-10-31,griferia de bidet,28,678048,5060,2019
2019-11-01,pisos vinilicos,2,264936,5190,2019
2019-11-02,griferia de cocina y lavadero,2,88776,5619,2019
2019-11-03,complementos de griferia,11,123959,6367,2019
2019-11-04,lavaplatos,11,187165,5206,2019
2019-11-05,pisos vinilicos,25,281350,5190,2019
2019-11-06,lavaplatos,16,197600,5206,2019
2019-11-07,bidet,22,243980,5769,2019
2019-11-08,urinarios,4,216284,6925,2019
2019-11-09,muebles de baño,9,1243935,7693,2019
2019-11-10,gres,3,69813,9652,2019
2019-11-11,urinarios,18,165384,6925,2019
2019-11-12,mamparas de ducha,19,309966,5153,2019
2019-11-13,lavaplatos,10,178910,5206,2019
2019-11-14,escobillas,6,112296,7200,2019
2019-11-15,griferia de lavamanos,12,136512,9370,2019
2019-11-16,rack toallas,2,246458,13837,2019
2019-11-17,lavamanos,27,516348,5307,2019
2019-11-18,accesorios institucionales,15,232320,6048,2019
2019-11-19,wc,15,231795,5152,2019
2019-11-20,mosaicos,1,85645,6177,2019
2019-11-21,perchas,1,94291,5060,2019
2019-11-22,pisos fotolaminados,4,438856,5671,2019
2019-11-23,pisos organicos,24,127248,5302,2019
2019-11-24,organizadores,7,271019,5587,2019
2019-11-25,griferia de cocina y lavadero,2,148494,5619,2019
2019-11-26,ceramicos,14,165326,5192,2019
2019-11-27,griferia de bidet,19,353837,5060,2019
2019-11-28,mamparas de ducha,15,151830,5153,2019
2019-11-29,pisos vinilicos,11,265991,5190,2019
2019-11-30,pisos vinilicos,13,84903,5190,2019
2019-12-01,griferia de ducha y tina,6,815862,5226,2019
2019-12-02,portapapeles,15,103590,5504,2019
2019-12-03,griferia institucional,7,725816,5557,2019
2019-12-04,griferia de cocina y lavadero,10,152670,5619,2019
2019-12-05,complemento de pisos vinilicos,17,397120,5612,2019
2019-12-06,receptaculos,26,291954,5589,2019
2019-12-07,pisos de madera,9,701235,5207,2019
2019-12-08,pisos organicos,20,171920,5302,2019
2019-12-09,accesorios institucionales,10,147950,6048,2019
2019-12-10,complementos de griferia,13,281008,6367,2019
2019-12-11,pisos fotolaminados,4,226936,5671,2019
2019-12-12,sanitarios institucionales,15,290535,7151,2019
2019-12-13,porcelanato,1,107735,5281,2019
2019-12-14,tinas,9,920466,5301,2019
2019-12-15,wall panels,26,627198,5077,2019
2019-12-16,receptaculos,8,516232,5589,2019
2019-12-17,pisos vinilicos,6,133560,5190,2019
2019-12-18,griferia institucional,22,502568,5557,2019
2019-12-19,lavaplatos,6,138702,5206,2019
2019-12-20,lavaplatos,4,47068,5206,2019
2019-12-21,escobillas,8,689104,7200,2019
2019-12-22,receptaculos,3,54138,5589,2019
2019-12-23,lavaplatos,8,60720,5206,2019
2019-12-24,espejos,24,378888,5808,2019
2019-12-25,accesorios institucionales,2,42778,6048,2019
2019-12-26,pisos de madera,4,438316,5207,2019
2019-12-27,rack toallas,22,304414,13837,2019
2019-12-28,pisos de madera,24,454008,5207,2019
2019-12-29,gres,9,389106,9652,2019
2019-12-30,perchas,8,246768,5060,2019
2019-12-31,accesibilidad universal,5,382570,6481,2019
2020-01-01,griferia de cocina y lavadero,6,360630,5719,2020
2020-01-02,wall panels,4,487688,5177,2020
2020-01-03,tinas,17,302923,5401,2020
2020-01-04,perchas,6,585504,5160,2020
2020-01-05,lavaplatos,11,76087,5306,2020
2020-01-06,pisos de madera,11,131868,5307,2020
2020-01-07,wc,24,431448,5252,2020
2020-01-08,tinas,7,785260,5401,2020
2020-01-09,jaboneras y vasos,2,64438,5116,2020
2020-01-10,accesorios institucionales,2,20574,6148,2020
2020-01-11,gres,5,192560,9752,2020
2020-01-12,jaboneras y vasos,9,217944,5116,2020
2020-01-13,griferia de bidet,6,115386,5160,2020
2020-01-14,sanitarios institucionales,17,144330,7251,2020
2020-01-15,porcelanato,12,206628,5381,2020
2020-01-16,mosaicos,8,779552,6277,2020
2020-01-17,wall panels,2,20512,5177,2020
2020-01-18,wall panels,3,311094,5177,2020
2020-01-19,wall panels,22,229130,5177,2020
2020-01-20,urinarios,8,287608,7025,2020
2020-01-21,organizadores,5,70320,5687,2020
2020-01-22,griferia de cocina y lavadero,3,181569,5719,2020
2020-01-23,pisos vinilicos,5,102620,5290,2020
2020-01-24,wall panels,26,132002,5177,2020
2020-01-25,complementos sanitarios,9,455499,6406,2020
2020-01-26,escobillas,25,561225,7300,2020
2020-01-27,jaboneras y vasos,8,586424,5116,2020
2020-01-28,pisos organicos,19,226917,5402,2020
2020-01-29,wall panels,1,11565,5177,2020
2020-01-30,bidet,15,145050,5869,2020
2020-01-31,pisos vinilicos,17,409632,5290,2020
2020-02-01,pisos fotolaminados,23,373658,5771,2020
2020-02-02,gres,5,241905,9752,2020
2020-02-03,toalleros,3,366789,5506,2020
2020-02-04,mamparas de ducha,6,41820,5253,2020
2020-02-05,bidet,7,859166,5869,2020
2020-02-06,mosaicos,15,305610,6277,2020
2020-02-07,bidet,20,208160,5869,2020
2020-02-08,muebles de baño,4,157784,7793,2020
2020-02-09,barras de seguridad,25,394725,6862,2020
2020-02-10,jaboneras y vasos,5,81300,5116,2020
2020-02-11,accesorios institucionales,1,22334,6148,2020
2020-02-12,gres,6,586674,9752,2020
2020-02-13,griferia de cocina y lavadero,5,311325,5719,2020
2020-02-14,wall panels,1,23249,5177,2020
2020-02-15,mamparas de ducha,4,340720,5253,2020
2020-02-16,espejos,20,227180,5908,2020
2020-02-17,lavaplatos,8,1052256,5306,2020
2020-02-18,complementos de pisos organicos,4,77528,6100,2020
2020-02-19,lavaplatos,2,67512,5306,2020
2020-02-20,sanitarios institucionales,19,408082,7251,2020
2020-02-21,griferia de ducha y tina,4,60588,5326,2020
2020-02-22,griferia de bidet,4,521680,5160,2020
2020-02-23,sanitarios institucionales,8,153224,7251,2020
2020-02-24,mosaicos,8,1117608,6277,2020
2020-02-25,complemento de pisos vinilicos,26,151164,5712,2020
2020-02-26,accesibilidad universal,8,963792,6581,2020
2020-02-27,mosaicos,9,1257993,6277,2020
2020-02-28,complemento de pisos vinilicos,11,64097,5712,2020
2020-02-29,complementos de griferia,4,279660,6467,2020
2020-03-01,griferia de ducha y tina,5,709695,5326,2020
2020-03-02,gres,8,664224,9752,2020
2020-03-03,lavamanos,17,417537,5407,2020
2020-03-04,pisos de madera,9,857790,5307,2020
2020-03-05,escobillas,8,928528,7300,2020
2020-03-06,pisos fotolaminados,11,96767,5771,2020
2020-03-07,receptaculos,14,95088,5689,2020
2020-03-08,pisos vinilicos,26,220376,5290,2020
2020-03-09,pisos fotolaminados,6,465138,5771,2020
2020-03-10,pisos de madera,1,24256,5307,2020
2020-03-11,porcelanato,19,183578,5381,2020
2020-03-12,modulos,5,466870,5326,2020
2020-03-13,griferia de bidet,9,130716,5160,2020
2020-03-14,rack toallas,9,1333755,13937,2020
2020-03-15,griferia de bidet,3,54672,5160,2020
2020-03-16,perchas,26,569920,5160,2020
2020-03-17,rack toallas,2,25946,13937,2020
2020-03-18,contenedores,2,27332,5955,2020
2020-03-19,receptaculos,11,94600,5689,2020
2020-03-20,wall panels,27,269217,5177,2020
2020-03-21,receptaculos,24,542136,5689,2020
2020-03-22,griferia de bidet,20,139800,5160,2020
2020-03-23,perchas,8,399648,5160,2020
2020-03-24,muebles de baño,11,103180,7793,2020
2020-03-25,porcelanato,2,98194,5381,2020
2020-03-26,receptaculos,17,379950,5689,2020
2020-03-27,escobillas,1,49816,7300,2020
2020-03-28,rack toallas,6,497118,13937,2020
2020-03-29,perchas,8,412528,5160,2020
2020-03-30,gres,13,194792,9752,2020
2020-03-31,pisos vinilicos,3,367122,5290,2020
2020-04-01,rack toallas,19,113069,13937,2020
2020-04-02,griferia de bidet,1,32079,5160,2020
2020-04-03,mosaicos,16,235072,6277,2020
2020-04-04,jaboneras y vasos,2,238212,5116,2020
2020-04-05,mosaicos,15,157350,6277,2020
2020-04-06,urinarios,6,353190,7025,2020
2020-04-07,sanitarios institucionales,2,136000,7251,2020
2020-04-08,pisos organicos,3,205695,5402,2020
2020-04-09,barras de seguridad,29,716851,6862,2020
2020-04-10,portapapeles,3,39114,5604,2020
2020-04-11,organizadores,3,399531,5687,2020
2020-04-12,pisos vinilicos,1,82603,5290,2020
2020-04-13,pisos fotolaminados,28,600264,5771,2020
2020-04-14,muebles de baño,8,923056,7793,2020
2020-04-15,barras de seguridad,23,404800,6862,2020
2020-04-16,complementos sanitarios,23,443785,6406,2020
2020-04-17,griferia de lavamanos,8,171040,9470,2020
2020-04-18,gres,5,307400,9752,2020
2020-04-19,muebles de baño,1,12218,7793,2020
2020-04-20,muebles de baño,8,1050864,7793,2020
2020-04-21,accesorios institucionales,8,828048,6148,2020
2020-04-22,griferia de lavamanos,8,840312,9470,2020
2020-04-23,complementos de pisos organicos,4,457832,6100,2020
2020-04-24,perchas,6,819960,5160,2020
2020-04-25,complementos sanitarios,23,461610,6406,2020
2020-04-26,pisos de madera,7,539399,5307,2020
2020-04-27,ceramicos,7,322224,5292,2020
2020-04-28,ceramicos,19,160588,5292,2020
2020-04-29,mamparas de ducha,2,160920,5253,2020
2020-04-30,complementos sanitarios,5,364400,6406,2020
2020-05-01,pisos vinilicos,2,231028,5290,2020
2020-05-02,griferia de ducha y tina,23,220018,5326,2020
2020-05-03,contenedores,5,731215,5955,2020
2020-05-04,griferia de cocina y lavadero,9,163989,5719,2020
2020-05-05,griferia de lavamanos,3,277548,9470,2020
2020-05-06,portapapeles,8,1115176,5604,2020
2020-05-07,barras de seguridad,24,492408,6862,2020
2020-05-08,sanitarios institucionales,17,358462,7251,2020
2020-05-09,wc,1,65954,5252,2020
2020-05-10,lavamanos,8,866752,5407,2020
2020-05-11,muebles de baño,9,1230588,7793,2020
2020-05-12,organizadores,11,249535,5687,2020
2020-05-13,complemento de pisos vinilicos,2,293478,5712,2020
2020-05-14,pisos de madera,11,153956,5307,2020
2020-05-15,espejos,5,637125,5908,2020
2020-05-16,griferia de cocina y lavadero,9,614187,5719,2020
2020-05-17,modulos,1,56657,5326,2020
2020-05-18,griferia de cocina y lavadero,23,411125,5719,2020
2020-05-19,griferia institucional,22,286902,5657,2020
2020-05-20,espejos,25,586450,5908,2020
2020-05-21,portapapeles,27,594783,5604,2020
2020-05-22,muebles de baño,9,1138707,7793,2020
2020-05-23,toalleros,10,136460,5506,2020
2020-05-24,griferia de ducha y tina,26,433264,5326,2020
2020-05-25,wall panels,14,336910,5177,2020
2020-05-26,pisos organicos,6,696870,5402,2020
2020-05-27,gres,21,509250,9752,2020
2020-05-28,pisos organicos,5,587050,5402,2020
2020-05-29,jaboneras y vasos,17,200923,5116,2020
2020-05-30,wall panels,8,128368,5177,2020
2020-05-31,contenedores,2,45434,5955,2020
2020-06-01,complementos de griferia,22,169642,6467,2020
2020-06-02,accesorios institucionales,1,119399,6148,2020
2020-06-03,ceramicos,4,544076,5292,2020
2020-06-04,barras de seguridad,20,135240,6862,2020
2020-06-05,griferia de bidet,27,462024,5160,2020
2020-06-06,barras de seguridad,2,22244,6862,2020
2020-06-07,mamparas de ducha,2,10306,5253,2020
2020-06-08,complementos de pisos organicos,9,64080,6100,2020
2020-06-09,griferia de ducha y tina,1,67904,5326,2020
2020-06-10,griferia de bidet,11,55660,5160,2020
2020-06-11,griferia de cocina y lavadero,9,768033,5719,2020
2020-06-12,pisos organicos,18,313524,5402,2020
2020-06-13,lavaplatos,19,253897,5306,2020
2020-06-14,mosaicos,2,101162,6277,2020
2020-06-15,lavamanos,5,407370,5407,2020
2020-06-16,pisos de madera,1,144618,5307,2020
2020-06-17,pisos vinilicos,25,542825,5290,2020
2020-06-18,complemento de pisos vinilicos,16,101456,5712,2020
2020-06-19,mamparas de ducha,8,242704,5253,2020
2020-06-20,ceramicos,17,409564,5292,2020
2020-06-21,receptaculos,16,118736,5689,2020
2020-06-22,tinas,9,907695,5401,2020
2020-06-23,receptaculos,9,832968,5689,2020
2020-06-24,perchas,15,282735,5160,2020
2020-06-25,pisos fotolaminados,7,473487,5771,2020
2020-06-26,sanitarios institucionales,26,446732,7251,2020
2020-06-27,griferia de lavamanos,26,638066,9470,2020
2020-06-28,complementos sanitarios,15,255675,6406,2020
2020-06-29,griferia de bidet,19,175408,5160,2020
2020-06-30,pisos de madera,2,207086,5307,2020
2020-07-01,complementos de griferia,18,117000,6467,2020
2020-07-02,receptaculos,7,166621,5689,2020
2020-07-03,accesibilidad universal,27,256419,6581,2020
2020-07-04,modulos,1,96150,5326,2020
2020-07-05,toalleros,8,839280,5506,2020
